estimatedMarketValue,gender,id,image,thumbnail,link1,link2,link3,name,colorway,releaseDate,releaseYear,retailPrice,silhouette,sku,story,NZDvalue,USDvalue
95.0,men,72e7be27-3d8c-4c63-bd26-6d5c23a54eea,https://image.goat.com/attachments/product_template_pictures/images/056/826/923/original/CD0082_012.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/923/original/CD0082_012.png.png,, https://flightclub.com/vapor-edge-speed-360-black-metallic-gold-cd0082-012,https://goat.com/sneakers/vapor-edge-speed-360-black-metallic-gold-cd0082-012,Vapor Edge Speed 360 'Black Metallic Gold',Black/Black,2021-06-29,2021,95.0,Vapor Edge,CD0082-012,,0,0
90.0,women,763f56e9-e2df-4cb3-b1fa-ab77f84f6a69,https://image.goat.com/attachments/product_template_pictures/images/056/826/993/original/DM8330_400.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/993/original/DM8330_400.png.png,, https://flightclub.com/wmns-daybreak-university-blue-orange-dm8330-400,https://goat.com/sneakers/wmns-daybreak-university-blue-orange-dm8330-400,Wmns Daybreak 'University Blue Orange',University Blue/Summit White/Saffron Quartz/Orange,2021-06-29,2021,90.0,Daybreak,DM8330-400,,0,0
38.0,youth,7d4a850d-4e70-45ef-8a8f-da78ad25bdcf,https://image.goat.com/attachments/product_template_pictures/images/056/826/922/original/CD0077_100.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/922/original/CD0077_100.png.png,, https://flightclub.com/vapor-edge-shark-gs-white-black-cd0077-100,https://goat.com/sneakers/vapor-edge-shark-gs-white-black-cd0077-100,Vapor Edge Shark GS 'White Black',White/Black,2021-06-29,2021,38.0,Vapor Edge,CD0077-100,,0,0
120.0,women,7de80137-f6b5-482f-a067-963982e026c0,https://image.goat.com/attachments/product_template_pictures/images/056/826/971/original/CW7358_500.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/971/original/CW7358_500.png.png,, https://flightclub.com/wmns-air-zoom-pegasus-38-iris-whisper-provence-purple-cw7358-500,https://goat.com/sneakers/wmns-air-zoom-pegasus-38-iris-whisper-provence-purple-cw7358-500,Wmns Air Zoom Pegasus 38 'Iris Whisper Provence Purple',Iris Whisper/Provence Purple/Black/White,2021-06-29,2021,120.0,Air Zoom Pegasus 38,CW7358-500,,0,0
60.0,men,804d6998-e815-445b-8df7-e6d279c70490,https://image.goat.com/attachments/product_template_pictures/images/056/826/947/original/CK6208_011.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/947/original/CK6208_011.png.png,, https://flightclub.com/alpha-huarache-varsity-3-turf-light-smoke-grey-ck6208-011,https://goat.com/sneakers/alpha-huarache-varsity-3-turf-light-smoke-grey-ck6208-011,Alpha Huarache Varsity 3 Turf 'Light Smoke Grey',Light Smoke Grey/Smoke Grey/White/Black,2021-06-29,2021,60.0,Alpha Huarache,CK6208-011,,0,0
60.0,men,87384abf-5cf1-433f-b3ab-81db5d3af12a,https://image.goat.com/attachments/product_template_pictures/images/056/826/948/original/CK6208_104.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/948/original/CK6208_104.png.png,, https://flightclub.com/alpha-huarache-varsity-3-turf-white-black-ck6208-104,https://goat.com/sneakers/alpha-huarache-varsity-3-turf-white-black-ck6208-104,Alpha Huarache Varsity 3 Turf 'White Black',White/Iron Grey/Black,2021-06-29,2021,60.0,Alpha Huarache,CK6208-104,,0,0
114.0,men,8855918f-959e-4c07-abf0-b0899478a292,https://image.goat.com/attachments/product_template_pictures/images/054/108/784/original/743925_00.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/054/108/784/original/743925_00.png.png,https://stockx.com/nike-air-force-1-low-acorn-2021, https://flightclub.com/air-force-1-low-acorn-2021-dj6395-100, https://goat.com/sneakers/air-force-1-low-acorn-2021-dj6395-100,Nike Air Force 1 Low Acorn (2021),Natural/Underbrush-Acorn,2021-06-29,2021,130.0,Air Force 1,DJ6395-100,"The 2021 edition of the Nike Air Force 1 Low ‘Acorn’ brings back a popular earth-toned colorway of the classic hoops silhouette. The upper combines light tan canvas with leather overlays in a subtle beige finish. The same hue is repeated on the Swoosh and Nike branded woven tongue tag. A standard AF1 cupsole anchors the low-top, complete with encapsulated Nike Air cushioning in the heel. Underfoot, the brown rubber outsole features a traction pattern made for pivoting on the hardwood.",0,0
55.0,youth,94e37935-17e3-4a93-a712-38f640d4694e,https://image.goat.com/attachments/product_template_pictures/images/056/827/041/original/H04222.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/827/041/original/H04222.png.png,, https://flightclub.com/racer-tr21-j-crew-navy-solar-gold-h04222,https://goat.com/sneakers/racer-tr21-j-crew-navy-solar-gold-h04222,Racer TR21 J 'Crew Navy Solar Gold',Crew Navy/Grey Three/Solar Gold,2021-06-29,2021,55.0,Racer TR21,H04222,,0,0
70.0,women,9755a166-8b60-4de9-9788-15ff5f29f6f5,https://image.goat.com/attachments/product_template_pictures/images/056/826/945/original/CK2948_005.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/945/original/CK2948_005.png.png,, https://flightclub.com/wmns-venture-runner-light-bone-magic-ember-ck2948-005,https://goat.com/sneakers/wmns-venture-runner-light-bone-magic-ember-ck2948-005,Wmns Venture Runner 'Light Bone Magic Ember',Light Bone/Cream 2/White/Magic Ember,2021-06-29,2021,70.0,Venture Runner,CK2948-005,,0,0
132.0,men,977bb728-7565-480f-802d-57e9ff781dbb,https://image.goat.com/attachments/product_template_pictures/images/056/826/959/original/CU3580_004.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/959/original/CU3580_004.png.png,, https://flightclub.com/mc-trainer-platinum-tint-chile-red-cu3580-004,https://goat.com/sneakers/mc-trainer-platinum-tint-chile-red-cu3580-004,MC Trainer 'Platinum Tint Chile Red',Platinum Tint/Wolf Grey/Gum Yellow/Chile Red,2021-06-29,2021,70.0,MC Trainer,CU3580-004,,0,0
90.0,men,a8d26d4d-c1f9-4ded-b640-92fcc277eb24,https://image.goat.com/attachments/product_template_pictures/images/056/826/931/original/CJ1156_004.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/931/original/CJ1156_004.png.png,, https://flightclub.com/daybreak-type-light-bone-orange-cj1156-004,https://goat.com/sneakers/daybreak-type-light-bone-orange-cj1156-004,Daybreak-Type 'Light Bone Orange',Light Bone/Hemp/Dark Driftwood/Orange,2021-06-29,2021,90.0,Daybreak,CJ1156-004,,0,0
109.0,men,aebfe891-f479-41e8-8a7d-7ed13b7719c1,https://image.goat.com/attachments/product_template_pictures/images/054/966/578/original/767023_00.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/054/966/578/original/767023_00.png.png,https://stockx.com/reebok-club-c-power-rangers-yellow, https://flightclub.com/power-rangers-x-club-c-saber-toothed-tiger-zord-gw2424, https://goat.com/sneakers/power-rangers-x-club-c-saber-toothed-tiger-zord-gw2424,Reebok Club C Power Rangers Yellow,Boldly Yellow/Coal/Silver Metallic,2021-06-29,2021,100.0,Club C,GW2424,"The Power Rangers x Reebok Club C ‘Saber-Toothed Tiger Zord’ is taken from a nostalgic capsule collection celebrating the ‘90s television series. This pair draws inspiration from the Yellow Ranger’s battle craft, featuring a yellow leather upper marked with colorful graphics lifted directly from the Zord. Its fangs are represented by the sneaker’s metallic silver heel tab. Mismatched tongue tags feature a Saber-Toothed Tiger graphic and the Power Rangers’ lightning bolt logo.",0,0
120.0,men,b1cc8f15-b3df-45c5-b160-77b6add0a240,https://image.goat.com/attachments/product_template_pictures/images/056/826/957/original/CT3886_606.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/957/original/CT3886_606.png.png,, https://flightclub.com/free-metcon-4-chile-red-ct3886-606,https://goat.com/sneakers/free-metcon-4-chile-red-ct3886-606,Free Metcon 4 'Chile Red',Chile Red/Magic Ember/White/Black,2021-06-29,2021,120.0,Free Metcon,CT3886-606,,0,0
50.0,youth,b3b2df57-6423-4ca8-996b-033ddd90f5fb,https://image.goat.com/attachments/product_template_pictures/images/056/826/953/original/CK6257_104.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/953/original/CK6257_104.png.png,, https://flightclub.com/alpha-huarache-3-tf-gs-white-black-ck6257-104,https://goat.com/sneakers/alpha-huarache-3-tf-gs-white-black-ck6257-104,Alpha Huarache 3 TF GS 'White Black',White/White/Bright Crimson/Black,2021-06-29,2021,50.0,Alpha Huarache,CK6257-104,,0,0
65.0,women,b97bca01-3145-4f22-b577-1c306ba50e09,https://image.goat.com/attachments/product_template_pictures/images/056/826/984/original/DB2880_100.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/984/original/DB2880_100.png.png,, https://flightclub.com/wmns-retro-gts-white-midnight-navy-db2880-100,https://goat.com/sneakers/wmns-retro-gts-white-midnight-navy-db2880-100,Wmns Retro GTS 'White Midnight Navy',White/Matte Aluminum/Midnight Navy,2021-06-29,2021,65.0,Retro GTS,DB2880-100,,0,0
80.0,men,c9ea23f1-6882-4678-9a31-817ca61f6137,https://image.goat.com/attachments/product_template_pictures/images/056/826/941/original/CK0748_011.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/941/original/CK0748_011.png.png,, https://flightclub.com/alpha-huarache-elite-3-turf-light-smoke-grey-black-ck0748-011,https://goat.com/sneakers/alpha-huarache-elite-3-turf-light-smoke-grey-black-ck0748-011,Alpha Huarache Elite 3 Turf 'Light Smoke Grey Black',Light Smoke Grey/White/Bright Crimson/Black,2021-06-29,2021,80.0,Alpha Huarache,CK0748-011,,0,0
149.0,men,cfebe57d-2a99-4330-b56a-7d4075badf55,https://image.goat.com/attachments/product_template_pictures/images/056/004/474/original/735562_00.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/004/474/original/735562_00.png.png,https://stockx.com/nike-dunk-high-game-royal, https://flightclub.com/dunk-high-game-royal-dd1399-102, https://goat.com/sneakers/dunk-high-game-royal-dd1399-102,Nike Dunk High Game Royal,White/Game Royal-Total Orange,2021-06-29,2021,110.0,Dunk,DD1399-102,"Recalling the 1985 Be True to Your School &#39;Kentucky&#39; colorway, the Dunk High &#39;Kentucky&#39; released in June 2021. Built entirely with leather, the shoe&#39;s upper appears in a mix of white and Game Royal, with perforations on the toe box providing breathability. A nylon tongue is included for further breathability, while underfoot, the two-tone look continues onto the tooling, which includes an outsole with a concentric traction pattern.",0,0
139.0,men,d4529f6f-0c2a-40e6-9fe4-db91effc63da,https://image.goat.com/attachments/product_template_pictures/images/055/739/354/original/767022_00.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/055/739/354/original/767022_00.png.png,https://stockx.com/reebok-club-c-legacy-power-rangers-blue-ranger, https://flightclub.com/power-rangers-x-club-c-triceratops-zord-gx2826, https://goat.com/sneakers/power-rangers-x-club-c-triceratops-zord-gx2826,Reebok Club C Legacy Power Rangers Blue Ranger,Humble Blue/White/Silver Metallic,2021-06-29,2021,120.0,Club C,GX2826,"Taken from a larger collection celebrating the ‘90s superhero franchise, the Power Rangers x Reebok Club C ‘Triceratops Zord’ gives the nod to the Blue Ranger’s battle vehicle. The retro silhouette carries a royal blue leather upper with metallic silver detailing that represents the Zord’s horns. On each tongue, mismatched branding takes the form of a Triceratops graphic and the Power Rangers’ yellow lightning bolt logo. ‘It’s Morphin Time’ is inscribed in red text on the medial quarter panel, while the opposite side displays a Triceratops wordmark.",0,0
180.0,men,d45decbd-1e65-452c-901c-17be1fee061e,https://image.goat.com/attachments/product_template_pictures/images/056/426/062/original/GY0590.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/426/062/original/GY0590.png.png,https://stockx.com/reebok-question-mid-power-rangers-megazord, https://flightclub.com/power-rangers-x-question-mid-megazord-battle-mode-gy0590, https://goat.com/sneakers/power-rangers-x-question-mid-megazord-battle-mode-gy0590,Reebok Question Mid Power Rangers Megazord,Black/Silver Metallic/Vector Red,2021-06-29,2021,180.0,Question,GY0590,"Launching as part of a limited collection celebrating the long-running superhero franchise, the Power Rangers x Reebok Question Mid &#39;Megazord Battle Mode!&#39; transforms Allen Iverson’s debut signature shoe with an eclectic design inspired by the Dino Megazord. The synthetic leather upper features a black base with metallic silver overlays and mismatched toe caps in yellow and royal blue. Unique details include a debossed filigree design on the collar, printed silver eyelets that replicate the Zord’s teeth, and a Dinozord emblem on the back heel.",0,0
65.0,men,d69d519b-0a3a-4389-9b56-8ef3f27d9926,https://image.goat.com/attachments/product_template_pictures/images/056/826/985/original/DJ1196_001.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/985/original/DJ1196_001.png.png,, https://flightclub.com/defy-all-day-triple-black-dj1196-001,https://goat.com/sneakers/defy-all-day-triple-black-dj1196-001,Defy All Day 'Triple Black',Black/Black/Black,2021-06-29,2021,65.0,Defy All Day,DJ1196-001,,0,0
120.0,preschool,e3da6778-1245-4ea0-8461-d57678a4c82b,"https://images.stockx.com/images/Reebok-Freestyle-Hi-Power-Rangers-Pink-Ranger-PS.jpg?fit=fill&bg=FFFFFF&w=500&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1624941958","https://images.stockx.com/images/Reebok-Freestyle-Hi-Power-Rangers-Pink-Ranger-PS.jpg?fit=fill&bg=FFFFFF&w=200&h=200&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1624941958",https://stockx.com/reebok-freestyle-hi-power-rangers-pink-ranger-ps,,,Reebok Freestyle Hi Power Rangers Pink Ranger (PS),Charged Pink/White/Vector Red,2021-06-29,2021,65.0,Reebok Freestyle Hi,GX2831,,0,0
80.0,women,e826fe04-292a-43ce-a635-67c802c4e649,https://image.goat.com/attachments/product_template_pictures/images/056/826/966/original/CW3409_503.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/966/original/CW3409_503.png.png,, https://flightclub.com/wmns-flex-run-2021-iris-whisper-cw3409-503,https://goat.com/sneakers/wmns-flex-run-2021-iris-whisper-cw3409-503,Wmns Flex Run 2021 'Iris Whisper',Iris Whisper/Purple Pulse/Lime Ice/Deep Royal Blue,2021-06-29,2021,80.0,Flex,CW3409-503,,0,0
