image,thumbnail,link1,link2,link3,name,colorway,releaseDate,releaseYear,retailPrice,silhouette,sku,story,NZDvalue,USDvalue
https://image.goat.com/attachments/product_template_pictures/images/056/174/890/original/GW8165.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/174/890/original/GW8165.png.png,https://stockx.com/reebok-question-low-white-clear-blue-sole, https://flightclub.com/question-low-white-clear-gw8165, https://goat.com/sneakers/question-low-white-clear-gw8165,Reebok Question Low White Clear Blue Sole,Footwear White/Footwear White/Clear,2021-06-30,2021,120.0,Question,GW8165,"The Reebok Question Low ‘White Clear’ updates Allen Iverson’s debut signature shoe with a blank-slate finish. Ghillie lacing secures the white leather upper, reinforced with a tonal leather toe cap and accented with a Question logo stamped on the heel tab. Breathable mesh is utilized on the sneaker’s throat, while soft textile lines the low-cut collar. The sneaker rides on a matching white EVA midsole with visible Hexalite cushioning. Underfoot, an icy translucent rubber outsole provides grippy traction.",156.2,110
https://image.goat.com/attachments/product_template_pictures/images/056/843/121/original/FZ4881.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/843/121/original/FZ4881.png.png,, https://flightclub.com/adizero-ubersonic-4-black-white-fz4881,https://goat.com/sneakers/adizero-ubersonic-4-black-white-fz4881,Adizero Ubersonic 4 'Black White',Core Black/Cloud White/Silver Metallic,2021-06-30,2021,130.0,Adizero Ubersonic,FZ4881,,205.89999999999998,145
https://image.goat.com/attachments/product_template_pictures/images/056/843/124/original/FZ4884.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/843/124/original/FZ4884.png.png,, https://flightclub.com/wmns-adizero-ubersonic-4-black-silver-metallic-fz4884,https://goat.com/sneakers/wmns-adizero-ubersonic-4-black-silver-metallic-fz4884,Wmns Adizero Ubersonic 4 'Black White',Core Black/Silver Metallic/Cloud White,2021-06-30,2021,130.0,Adizero Ubersonic,FZ4884,,269.8,190
https://image.goat.com/attachments/product_template_pictures/images/056/477/167/original/GW5270.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/477/167/original/GW5270.png.png,https://stockx.com/adidas-superstar-lego-white-black, https://flightclub.com/lego-x-superstar-base-plates-gw5270, https://goat.com/sneakers/lego-x-superstar-base-plates-gw5270,adidas Superstar LEGO White Black,Cloud White/Core Black/Core Black,2021-06-30,2021,140.0,Superstar,GW5270,"The LEGO x adidas Superstar ‘Base Plates’ transforms the iconic sneaker with unique details inspired by the Danish toy brand. The low-top makes use of a synthetic white leather upper made in part with recycled content. Reminiscent of a LEGO baseplate, a studded texture is applied to the sneaker’s rubber toe, as well as the contrasting black heel tab and serrated three-stripes. Dual adidas and LEGO branding adorns the bright yellow sockliner. The low-profile silhouette is mounted a standard rubber cuposle, featuring a herringbone traction pattern underfoot.",207.32,146
https://image.goat.com/attachments/product_template_pictures/images/056/843/101/original/DM8314_100.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/843/101/original/DM8314_100.png.png,, https://flightclub.com/air-force-1-07-lv8-coconut-milk-hyper-royal-dm8314-100,https://goat.com/sneakers/air-force-1-07-lv8-coconut-milk-hyper-royal-dm8314-100,Air Force 1 '07 LV8 'Coconut Milk Hyper Royal',Coconut Milk/White/Bright Crimson/Hyper Royal,2021-06-30,2021,110.0,Air Force 1,DM8314-100,,203.06,143
https://image.goat.com/attachments/product_template_pictures/images/052/843/043/original/DJ3056_003.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/052/843/043/original/DJ3056_003.png.png,https://stockx.com/nike-space-hippie-01-melon-tint, https://flightclub.com/space-hippie-01-melon-tint-dj3056-003, https://goat.com/sneakers/space-hippie-01-melon-tint-dj3056-003,Nike Space Hippie 01 Melon Tint Aquamarine,Vast Grey/Summit White-Melon Tint,2021-06-30,2021,130.0,Space Hippie 01,DJ3056-003,"Continuing the brand’s exploratory footwear collection predicated on recycling and limited resources, the Nike Space Hippie 01 ‘Melon Tint’ spotlights the speckled Crater Foam midsole — built with a blend of standard foam compounds and Nike Grind rubber — by applying a vibrant orange finish. Up top, the sneaker’s beige knit construction is made with mostly recycled content that includes plastic bottles, T-shirts and post-industrial scraps. A plush insole composed of ZoomX foam scraps delivers a cushioned ride.",234.29999999999998,165
https://image.goat.com/attachments/product_template_pictures/images/055/890/287/original/764478_00.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/055/890/287/original/764478_00.png.png,https://stockx.com/nike-space-hippie-01-obsidian, https://flightclub.com/space-hippie-01-obsidian-dj3056-400, https://goat.com/sneakers/space-hippie-01-obsidian-dj3056-400,Nike Space Hippie 01 Obsidian,Obsidian/Signal Blue-Psychic Blue-White,2021-06-30,2021,130.0,Space Hippie 01,DJ3056-400,"Releasing as part of a sustainable line designed to lower the brand’s carbon footprint, the Nike Space Hippie 01 ‘Obsidian’ carries a navy blue knit upper made with ‘Space Waste Yarn,’ which includes recycled materials like T-shirts, fabric scraps and plastic water bottles. The sock-like build is mounted on a cream-hued Crater Foam midsole, which works in tandem with a plush sockliner constructed from ZoomX foam scraps — the same cushioning technology used on Nike’s pinnacle NEXT% running shoes.",221.51999999999998,156
https://image.goat.com/attachments/product_template_pictures/images/056/826/952/original/CK6257_011.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/952/original/CK6257_011.png.png,, https://flightclub.com/alpha-huarache-3-tf-gs-light-smoke-grey-black-ck6257-011,https://goat.com/sneakers/alpha-huarache-3-tf-gs-light-smoke-grey-black-ck6257-011,Alpha Huarache 3 TF GS 'Light Smoke Grey Black',Light Smoke Grey/White/Bright Crimson/Black,2021-06-29,2021,50.0,Alpha Huarache,CK6257-011,,156.2,110
https://image.goat.com/attachments/product_template_pictures/images/056/826/937/original/CK0746_602.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/056/826/937/original/CK0746_602.png.png,, https://flightclub.com/alpha-huarache-elite-3-low-university-red-ck0746-602,https://goat.com/sneakers/alpha-huarache-elite-3-low-university-red-ck0746-602,Alpha Huarache Elite 3 Low 'University Red',University Red/White/Black,2021-06-29,2021,90.0,Alpha Huarache,CK0746-602,,213.0,150
https://image.goat.com/attachments/product_template_pictures/images/054/966/570/original/767335_00.png.png,https://image.goat.com/400/attachments/product_template_pictures/images/054/966/570/original/767335_00.png.png,https://stockx.com/reebok-freestyle-hi-power-rangers-pink-ranger-w, https://flightclub.com/power-rangers-x-wmns-freestyle-high-pterodactyl-zord-gw2425, https://goat.com/sneakers/power-rangers-x-wmns-freestyle-high-pterodactyl-zord-gw2425,Reebok Freestyle Hi Power Rangers Pink Ranger (W),White/Charged Pink/Silver Metallic,2021-06-29,2021,120.0,Freestyle,GW2425,"Releasing as part of a larger collection inspired by the ‘90s superhero franchise, the Power Rangers x Reebok women’s Freestyle High ‘Pterodactyl Zord’ gives the nod to the Pink Ranger’s battle vehicle. The high-top trainer utilizes a pink leather upper with white side stripes and a metallic silver heel overlay. ‘Pterodactyl’ is printed on the top ankle strap on the left shoe, while the left features text that reads ‘It’s Morphin Time.’ Underneath the straps, mismatched tongue tags reveal the Power Rangers’ lightning bolt logo and a pterodactyl graphic.",191.7,135
